id,popularity,name
5uU1uuyaUIBOiiUSQG7Wl3,84,You Proof
3duP6mBVDsHM8ioN7o7dAK,70,Boondocks
3cBsEDNhFI9E82vPj3kvi3,83,Wasted On You
48UPSzbZjgc449aqz8bxox,82,Californication
3WMj8moIAXJhHsyLaqIIHI,83,Something in the Orange
69AIpwGNLxr4qS1X5ynx60,80,Buy Dirt
6foY66mWZN0pSRjZ408c00,82,Whiskey Glasses
2374M0fQpWi3dLnB54qaLX,84,Africa
0LQtEJt7x0s6knb6RKdRYc,80,Chicken Fried
2hnMS47jN0etwvFPzYk11f,78,Santeria
200x8ONbPfFzByUr3fVz46,79,She Had Me At Heads Carolina
2ccuOtUjIyx3tPcsnpeBzJ,77,Flower Shops (feat. Morgan Wallen)
28n8z9IQKyjMPxmvYMBqZa,80,The Kind of Love We Make
5ChkMS8OtdzJeqyybCc9R5,84,Billie Jean
3fqwjXwUGN6vbzIwvyFMhx,81,Tennessee Whiskey
4k3lPl8YTKuY8c1HelVnm3,79,'Til You Can't
0ZUo4YjG4saFnEJhdWp9Bt,79,Before He Cheats
0uRrG2jRR5tuifsYIJHEao,79,Sand In My Boots
57bgtoPSgt236HzfBOd8kj,84,Thunderstruck
1mMLMZYXkMueg65jRRWG1l,80,When It Rains It Pours
