id,popularity,name
7fYRg3CEbk6rNCuzNzMT06,89,Potion (with Dua Lipa & Young Thug)
6f5ExP43esnvdKPddwKXJH,84,Better Days (NEIKED x Mae Muller x Polo G)
18asYwWugKjjsihZ0YvRxO,90,The Motto
3FU6urUVsgXa6RBuV2PdRk,77,Heartless (feat. Morgan Wallen)
7ef4DlsgrMEH11cDZd32M6,91,One Kiss (with Dua Lipa)
6gBFPUFcJLzWGx4lenP6h2,84,goosebumps
3uUuGVFu1V7jTQL60S1r8z,92,Where Are You Now
6YUTL4dYpB9xZO5qExPf05,84,Summer
10xV5l9nhLvFpR8mqzs0bL,85,Numb
2xLMifQCjDGFmkHkpNLD9h,83,SICKO MODE
1gihuPhrLraKYrJMAEONyc,82,Feel So Close - Radio Edit
4qu63nuBpdn0qHUHuObEj1,85,Leave Before You Love Me (with Jonas Brothers)
7BKLCZ1jbUBVqRi2FVlTVw,85,Closer
3eekarcy7kvN4yt5ZFzltW,82,HIGHEST IN THE ROOM
09IStsImFySgyp0pIQdqAc,81,The Middle
5bcTCxgc7xVfSaMV3RuVke,82,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)"
2dpaYNEQHiRxtZbfNsse99,84,Happier
11kDth1aKUEUMq9r1pqyds,79,5% TINT
0azC730Exh71aQlOt9Zj3y,81,This Is What You Came For (feat. Rihanna)
0bI7K9Becu2dtXK1Q3cZNB,86,Don't Be Shy
