id,popularity,name
4SqWKzw0CbA05TGszDgMlc,89,I Love You So
58ge6dfP91o9oXMzq3XkIS,82,505
3USxtqRwSYz57Ewm6wWRMp,86,Heat Waves
7EkWXAI1wn8Ii883ecd9xr,86,Freaks
2vWBUC9djv6BtiGlmKiQaH,84,YKWIM?
11iIikXxC6NP0Ma8vMD27x,82,Alien Blues
0sTlGEld0h8kIPZaKDYUf4,85,Notion
02MWAaffLxlfxAUY7c5dvx,91,Heat Waves
3jjsRKEsF42ccXf8kWR3nu,84,Washing Machine Heart
0GO8y8jQk1PkHzS31d699N,81,Tongue Tied
751srcHf5tUqcEa9pRCQwP,82,Tek It
7H0ya83CMmgFcOhw0UB6ow,80,Space Song
4UG2Fm0E98LhE2dlNxiAXx,84,this is what falling in love feels like
3jfZ9M23l0L7RxzYMTgBTv,80,Looking Out for You
1KIJclzEbNhSVw8tiHPWwE,83,Young
6jgkEbmQ2F2onEqsEhiliL,81,My Kind of Woman
0QZ5yyl6B6utIWkxeBDxQN,77,The Night We Met
7H7NyZ3G075GqPx2evsfeb,81,Chamber Of Reflection
2R4AlwtrrkMaRKojcTIzmL,80,For the First Time
1BYZxKSf0aTxp8ZFoeyM3d,83,we fell in love in october
